2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000044 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000045 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000046 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000047 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000048 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000049 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000050 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000051 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000052 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000053 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000054 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000055 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000056 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000057 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000058 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000059 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000060 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000061 - no suitable hosts
